ID,Symbol
1007_s_at,DDR1
1053_at,RFC2
117_at,HSPA6
121_at,PAX8
1294_at,UBA7
1316_at,THRA
1405_i_at,CCL5
1487_at,ESRRA
1494_f_at,CYP2A6
1598_g_at,GAS6
160020_at,MMP14
1729_at,TRADD
177_at,PLD1
179_at,PMS2L11
200000_s_at,PRPF8
200001_at,CAPNS1
200002_at,RPL35
200003_s_at,RPL28
200004_at,EIF4G2
200005_at,EIF3D
200006_at,PARK7
200007_at,SRP14
200008_s_at,GDI2
200009_at,GDI2
200010_at,RPL11
200011_s_at,ARF3
200012_x_at,LOC653737
200013_at,RPL24
200014_s_at,HNRNPC
200015_s_at,37500
200016_x_at,HNRNPA1
200017_at,RPS27A
200018_at,RPS13
200019_s_at,FAU
200020_at,TARDBP
200021_at,CFL1
200022_at,RPL18
200023_s_at,EIF3F
200024_at,LOC392424
200025_s_at,RPL27
200026_at,LOC342994
200027_at,NARS
200028_s_at,STARD7
200029_at,RPL19
200030_s_at,SLC25A3
200031_s_at,RPS11
200032_s_at,RPL9
200033_at,DDX5
200034_s_at,RPL6
200035_at,DULLARD
200036_s_at,RPL10A
200037_s_at,CBX3
200038_s_at,RPL17
200039_s_at,PSMB2
200040_at,KHDRBS1
200041_s_at,BAT1
200042_at,C22orf28
200043_at,ERH
200044_at,SFRS9
200045_at,ABCF1
200046_at,DAD1
200047_s_at,YY1
200048_s_at,JTB
200049_at,MYST2
200050_at,ZNF146
200051_at,SART1
200052_s_at,ILF2
200053_at,SPAG7
200054_at,LOC442240
200055_at,TAF10
200056_s_at,C1D
200057_s_at,NONO
200058_s_at,ASCC3L1
200059_s_at,RHOA
200060_s_at,RNPS1
200061_s_at,RPS24
200062_s_at,RPL30
200063_s_at,NPM1
200064_at,HSP90AB1
200065_s_at,ARF1
200066_at,IK
200067_x_at,SNX3
200068_s_at,CANX
200069_at,SART3
200070_at,C2orf24
200071_at,SMNDC1
200072_s_at,HNRPM
200073_s_at,HNRPD
200074_s_at,LOC649821
200075_s_at,GUK1
200076_s_at,C19orf50
200077_s_at,OAZ1
200078_s_at,ATP6V0B
200079_s_at,KARS
200080_s_at,H3F3A
200081_s_at,RPS6
200082_s_at,LOC644315
200083_at,USP22
200084_at,C11orf58
200085_s_at,TCEB2
200086_s_at,COX4I1
200087_s_at,TMED2
200088_x_at,RPL12
200089_s_at,RPL4
200090_at,FNTA
200091_s_at,RPS25
200092_s_at,RPL37
200093_s_at,HINT1
200094_s_at,EEF2
200095_x_at,RPS10
200096_s_at,ATP6V0E1
200097_s_at,HNRPK
200098_s_at,ANAPC5
200099_s_at,LOC439992
200593_s_at,HNRNPU
200594_x_at,HNRNPU
200595_s_at,EIF3A
200596_s_at,EIF3A
200597_at,EIF3A
200598_s_at,HSP90B1
200599_s_at,HSP90B1
200600_at,MSN
200601_at,ACTN4
200602_at,APP
200603_at,PRKAR1A
200604_s_at,PRKAR1A
200605_s_at,PRKAR1A
200607_s_at,RAD21
200608_s_at,RAD21
200609_s_at,WDR1
200610_s_at,NCL
200611_s_at,WDR1
200612_s_at,AP2B1
200613_at,AP2M1
200614_at,CLTC
200615_s_at,AP2B1
200616_s_at,KIAA0152
200617_at,KIAA0152
200618_at,LASP1
200619_at,SF3B2
200620_at,TMEM59
200621_at,CSRP1
200622_x_at,CALM3
200623_s_at,CALM3
200624_s_at,MATR3
200625_s_at,CAP1
200626_s_at,MATR3
200627_at,PTGES3
200628_s_at,WARS
200629_at,WARS
200630_x_at,SET
200631_s_at,SET
200632_s_at,NDRG1
200633_at,UBB
200634_at,PFN1
200638_s_at,YWHAZ
200639_s_at,YWHAZ
200640_at,YWHAZ
200641_s_at,YWHAZ
200642_at,SOD1
200643_at,HDLBP
200644_at,MARCKSL1
200645_at,GABARAP
200646_s_at,NUCB1
200647_x_at,EIF3C
200648_s_at,GLUL
200649_at,NUCB1
200650_s_at,LDHA
200651_at,GNB2L1
200652_at,SSR2
